4000004250254,双鱼正品三星乒乓球/个         ,                    ,,,个      ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000004270122,双利圆棉边多用巾110*160/条    ,                    ,,,条      ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000004321220,诺达八元品系列/个             ,                    ,,,个      ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000004343550,环球浴巾0.7*1.4/条            ,                    ,,,条      ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000004345226,欧瑟嘉蚕丝被2*2.3/条          ,                    ,,,条      ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099031974,红花生米/千克                 ,                    ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099043304,广益葡萄粽/千克               ,千克                ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099043540,散孔师傅珍珠肠/千克           ,                    ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099053990,缅黄鱼/千克                   ,                    ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099054058,鲜平鱼/千克                   ,                    ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099061292,水面筋/千克                   ,                    ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099069830,泡椒猪皮/千克                 ,                    ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099073318,瓜仁饼/千克                   ,                    ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099078290,凉拌素虾仁/千克               ,                    ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099087582,酱牛肉/千克                   ,                    ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099129848,鸡翅尖/千克                   ,                    ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099137072,乔麦方便粥/千克               ,                    ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099142472,青辣子/千克                   ,                    ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099150842,白萝卜/千克                   ,                    ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099153676,土豆/千克                     ,                    ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099154116,土豆/千克                     ,                    ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099160674,秀针菇/千克                   ,                    ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099169066,奶油葡萄干/千克               ,                    ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099169202,大无花果/千克                 ,                    ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099186896,三全蛋奶馒头/kg               ,                    ,,,PCS     ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099187954,鹅脖/千克                     ,                    ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099197618,徐福记沙琪玛/千克             ,                    ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099210164,营养甘薯/千克                 ,                    ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
4000099217408,墨鱼干/千克                   ,                    ,,,千克    ,,0.0000,0.0000,2017-07-10 16:56:44,,0,None,None
